source_node_id,concept_node_id,confidence,batch_id,updated_at,profile_id
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_domain_e19086aaa18e,0.9,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_domain_1b0fc624c2e1,0.8,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_domain_cee803d4cfc3,0.7,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_domain_0cb9c36cb6da,0.6,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_domain_68b5c531a430,0.6,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_theme_7a0a498a851b,0.8,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_theme_a9d4963e4af4,0.9,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_theme_7252661eddc1,0.9,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_theme_1153174560cc,0.8,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_theme_fdb178f712b2,0.7,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_theme_e2d0e38cfde1,0.7,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_theme_820db04b004d,0.6,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_theme_297d28a28e80,0.6,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_person_8240af5ee220,0.85,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_person_5ebf778f5317,0.8,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_person_21f27c1e1465,0.6,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_person_e44b6c0c3af3,0.75,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_person_f6c4b3732059,0.85,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_event_2b3c90ec0ea9,0.8,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_event_00d56a9ad99d,0.7,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_event_3f0cb2a18c66,0.7,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_concept_e2ca4ff60c78,0.6,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_concept_106d6f9b3f78,0.8,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_concept_7e033ea7ea53,0.9,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_concept_6407111ba2a4,0.7,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_event_1afdd4884d52,0.6,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_person_c6b32b63db61,0.7,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_insight_b28bdff91700,0.9,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_insight_f53b22048880,0.85,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
source_a6e44dd98eed381bb7ffa4d019c61b157f9daaaa,concept_insight_47838f281218,0.8,groq_batch_13r_outputs.normalized,"2026-04-07 12:35:39",
